from_station_id,to_station_id,reference_distance_km,structure_distance_km,distance_stretch,structure
ST006,ST043,8.959,8.959,1.0,CANDIDATE_GRAPH
ST006,ST044,9.693,9.693,1.0,CANDIDATE_GRAPH
ST006,ST045,8.46,8.46,1.0,CANDIDATE_GRAPH
ST006,ST046,8.05,8.05,1.0,CANDIDATE_GRAPH
ST006,ST047,10.742999999999999,10.742999999999999,1.0,CANDIDATE_GRAPH
ST006,ST048,8.3,8.3,1.0,CANDIDATE_GRAPH
ST006,ST049,15.919999999999998,15.919999999999998,1.0,CANDIDATE_GRAPH
ST006,ST050,10.014,10.014,1.0,CANDIDATE_GRAPH
ST006,ST051,2.665,2.665,1.0,CANDIDATE_GRAPH
ST006,ST052,1.779,1.779,1.0,CANDIDATE_GRAPH
ST006,ST053,14.136,14.136,1.0,CANDIDATE_GRAPH
ST006,ST054,6.963,6.963,1.0,CANDIDATE_GRAPH
ST006,ST055,15.502,15.502,1.0,CANDIDATE_GRAPH
ST007,ST008,2.567,2.567,1.0,CANDIDATE_GRAPH
ST007,ST009,3.2150000000000003,3.2150000000000003,1.0,CANDIDATE_GRAPH
ST007,ST010,9.013,9.013,1.0,CANDIDATE_GRAPH
ST007,ST011,8.717,8.717,1.0,CANDIDATE_GRAPH
ST007,ST012,8.754999999999999,8.754999999999999,1.0,CANDIDATE_GRAPH
ST007,ST013,9.465,9.465,1.0,CANDIDATE_GRAPH
ST007,ST014,10.134999999999998,10.134999999999998,1.0,CANDIDATE_GRAPH
ST007,ST015,6.924,6.924,1.0,CANDIDATE_GRAPH
ST007,ST016,4.806,4.806,1.0,CANDIDATE_GRAPH
ST007,ST017,1.354,1.354,1.0,CANDIDATE_GRAPH
ST007,ST018,7.798,7.798,1.0,CANDIDATE_GRAPH
ST007,ST019,8.073,8.073,1.0,CANDIDATE_GRAPH
ST007,ST020,9.545000000000002,9.545000000000002,1.0,CANDIDATE_GRAPH
ST007,ST021,13.145999999999999,13.145999999999999,1.0,CANDIDATE_GRAPH
ST007,ST022,13.102,13.102,1.0,CANDIDATE_GRAPH
ST007,ST023,7.584,7.584,1.0,CANDIDATE_GRAPH
ST007,ST024,7.300000000000001,7.300000000000001,1.0,CANDIDATE_GRAPH
ST007,ST025,6.925,6.925,1.0,CANDIDATE_GRAPH
ST007,ST026,8.801,8.801,1.0,CANDIDATE_GRAPH
ST007,ST027,8.629999999999999,8.629999999999999,1.0,CANDIDATE_GRAPH
ST007,ST028,8.231,8.231,1.0,CANDIDATE_GRAPH
ST007,ST029,3.864,3.864,1.0,CANDIDATE_GRAPH
ST007,ST030,1.683,1.683,1.0,CANDIDATE_GRAPH
ST007,ST031,3.8529999999999998,3.8529999999999998,1.0,CANDIDATE_GRAPH
ST007,ST032,11.463999999999999,11.463999999999999,1.0,CANDIDATE_GRAPH
ST007,ST033,11.185,11.185,1.0,CANDIDATE_GRAPH
ST007,ST034,5.32,5.32,1.0,CANDIDATE_GRAPH
ST007,ST035,4.967,4.967,1.0,CANDIDATE_GRAPH
ST007,ST036,5.611,5.611,1.0,CANDIDATE_GRAPH
ST007,ST037,6.087,6.087,1.0,CANDIDATE_GRAPH
ST007,ST038,2.815,2.815,1.0,CANDIDATE_GRAPH
ST007,ST039,2.861,2.861,1.0,CANDIDATE_GRAPH
ST007,ST040,3.004,3.004,1.0,CANDIDATE_GRAPH
ST007,ST041,4.567,4.567,1.0,CANDIDATE_GRAPH
ST007,ST042,1.21,1.21,1.0,CANDIDATE_GRAPH
ST007,ST043,8.886,8.886,1.0,CANDIDATE_GRAPH
ST007,ST044,9.587,9.587,1.0,CANDIDATE_GRAPH
ST007,ST045,8.393,8.393,1.0,CANDIDATE_GRAPH
ST007,ST046,8.093,8.093,1.0,CANDIDATE_GRAPH
ST007,ST047,10.358,10.358,1.0,CANDIDATE_GRAPH
ST007,ST048,8.222,8.222,1.0,CANDIDATE_GRAPH
ST007,ST049,15.534,15.534,1.0,CANDIDATE_GRAPH
ST007,ST050,9.712,9.712,1.0,CANDIDATE_GRAPH
ST007,ST051,3.281,3.281,1.0,CANDIDATE_GRAPH
ST007,ST052,1.163,1.163,1.0,CANDIDATE_GRAPH
ST007,ST053,13.52,13.52,1.0,CANDIDATE_GRAPH
ST007,ST054,7.006,7.006,1.0,CANDIDATE_GRAPH
ST007,ST055,15.079,15.079,1.0,CANDIDATE_GRAPH
ST008,ST009,1.712,1.712,1.0,CANDIDATE_GRAPH
ST008,ST010,9.519,9.519,1.0,CANDIDATE_GRAPH
ST008,ST011,9.982,9.982,1.0,CANDIDATE_GRAPH
ST008,ST012,9.058,9.058,1.0,CANDIDATE_GRAPH
ST008,ST013,9.875,9.875,1.0,CANDIDATE_GRAPH
ST008,ST014,10.437999999999999,10.437999999999999,1.0,CANDIDATE_GRAPH
ST008,ST015,6.807,6.807,1.0,CANDIDATE_GRAPH
ST008,ST016,5.244,5.244,1.0,CANDIDATE_GRAPH
ST008,ST017,2.645,2.645,1.0,CANDIDATE_GRAPH
ST008,ST018,8.593,8.593,1.0,CANDIDATE_GRAPH
ST008,ST019,9.07,9.07,1.0,CANDIDATE_GRAPH
ST008,ST020,10.251000000000001,10.251000000000001,1.0,CANDIDATE_GRAPH
ST008,ST021,14.038,14.038,1.0,CANDIDATE_GRAPH
ST008,ST022,13.994,13.994,1.0,CANDIDATE_GRAPH
ST008,ST023,8.475999999999999,8.475999999999999,1.0,CANDIDATE_GRAPH
ST008,ST024,7.183000000000001,7.183000000000001,1.0,CANDIDATE_GRAPH
ST008,ST025,7.469,7.469,1.0,CANDIDATE_GRAPH
ST008,ST026,9.104,9.104,1.0,CANDIDATE_GRAPH
ST008,ST027,8.933,8.933,1.0,CANDIDATE_GRAPH
ST008,ST028,8.534,8.534,1.0,CANDIDATE_GRAPH
ST008,ST029,4.389,4.389,1.0,CANDIDATE_GRAPH
ST008,ST030,2.575,2.575,1.0,CANDIDATE_GRAPH
ST008,ST031,4.745,4.745,1.0,CANDIDATE_GRAPH
ST008,ST032,12.461,12.461,1.0,CANDIDATE_GRAPH
ST008,ST033,10.699,10.699,1.0,CANDIDATE_GRAPH
ST008,ST034,5.212,5.212,1.0,CANDIDATE_GRAPH
ST008,ST035,4.859,4.859,1.0,CANDIDATE_GRAPH
ST008,ST036,4.468,4.468,1.0,CANDIDATE_GRAPH
ST008,ST037,4.944,4.944,1.0,CANDIDATE_GRAPH
ST008,ST038,1.312,1.312,1.0,CANDIDATE_GRAPH
ST008,ST039,1.41,1.41,1.0,CANDIDATE_GRAPH
